DeltaTs,Gamma
34236,-0.3653
34226,0.5183
34216,-1.0304
34207,-1.3569
34206,1.3249
34197,1.1115
34187,-0.6262
34177,0.4335
34167,0.1365
34157,-0.2502
34147,0.8869
34136,-0.9989
34128,-1.0164
34118,1.2259
34108,-0.3204
34098,0.4715
34087,0.4021
34077,-0.2987
34067,1.1656
34059,1.4929
34057,-1.0135
34049,-1.1698
34039,0.7928
34029,-0.4479
34018,0.0344
34008,0.2591
33998,-0.7633
33988,0.9124
33980,1.3133
33978,-1.517
33970,-1.1457
33959,0.506
33949,-0.4711
33939,-0.2507
33929,0.2404
33919,-0.9581
33909,0.946
33901,1.0207
33891,-1.051
33880,0.3369
33870,-0.2933
33860,-0.3539
33850,0.4478
33840,-1.0231
33832,-1.4422
33830,1.253
33822,1.1108
33812,-0.7131
33801,0.4389
33791,0.0544
33781,-0.2425
33771,0.8132
33761,-0.986
33753,-1.0586
33751,1.5035
33743,1.2719
33733,-0.3579
33723,0.5219
33713,0.3736
33703,-0.2425
33692,1.1428
33682,-0.9538
33674,-1.1742
33664,0.8691
33654,-0.4473
33644,0.1153
33634,0.2592
33624,-0.6776
33614,0.9127
33605,1.3832
33604,-1.4306
33595,-1.1614
33585,0.5682
33575,-0.4941
33565,-0.1946
33555,0.208
33545,-0.9114
33535,0.9055
33527,1.0486
33517,-1.1054
33507,0.3595
33497,-0.3564
33487,-0.3381
33477,0.3805
33467,-1.0132
33458,-1.5278
33456,1.1828
33448,1.1083
33438,-0.8027
33428,0.4408
33418,-0.0302
33408,-0.2384
33398,0.7371
33388,-0.9779
33380,-1.1062
33378,1.4371
33370,1.3109
33360,-0.4023
33350,0.5647
33340,0.3355
33330,-0.1945
33320,1.1105
33310,-0.9008
33301,-1.1836
33291,0.9429
33281,-0.449
33271,0.197
33261,0.2593
33251,-0.5902
33241,0.9137
33233,1.4562
33231,-1.3429
33223,-1.1718
33213,0.634
33203,-0.5113
33193,-0.1337
33183,0.1825
33173,-0.8586
33163,0.8732
33155,1.0831
33145,-1.1531
33143,1.5266
33135,0.389
33125,-0.4136
33115,-0.3152
33105,0.3172
33095,-0.9974
33085,1.116
33077,1.1066
33067,-0.8922
33057,0.441
33047,-0.1173
33037,-0.2378
33027,0.6571
33017,-0.9744
33009,-1.1615
33007,1.3652
32999,1.3414
32989,-0.4535
32979,0.6
32969,0.2913
32959,-0.1528
32949,1.0711
32939,-0.8534
32931,-1.1971
32921,1.013
32911,-0.4552
32901,0.2749
32891,0.2562
32881,-0.5042
32871,0.9135
32863,1.531
32861,-1.2553
32853,-1.1784
32843,0.704
32833,-0.5228
32823,-0.0681
32813,0.1637
32803,-0.8002
32793,0.8486
32785,1.1266
32775,-1.1942
32774,1.4962
32765,0.4267
32755,-0.4648
32746,-0.2853
32736,0.2592
32726,-0.9773
32716,1.0515
32708,1.1054
32698,-0.9813
32688,0.4414
32678,-0.2042
32668,-0.2385
32658,0.5768
32648,-0.9724
32640,-1.2208
32638,1.292
32630,1.3651
32620,-0.5121
32610,0.6273
32600,0.2381
32590,-0.1195
32580,1.0223
32571,-0.8141
32562,-1.217
32552,1.0796
32551,-1.5201
32543,-0.4658
32533,0.351
32523,0.2495
32513,-0.4201
32503,0.9116
32493,-1.1691
32485,-1.1825
32475,0.7755
32465,-0.5297
32455,0.0018
32445,0.1509
32436,-0.7369
32426,0.8301
32417,1.1769
32416,-1.528
32408,-1.2282
32406,1.4723
32398,0.4717
32388,-0.5101
32378,-0.2481
32368,0.2075
32358,-0.9492
32348,0.9934
32340,1.1072
32330,-1.0678
32321,0.4432
32311,-0.2899
32301,-0.24
32291,0.4943
32281,-0.9735
32273,-1.2855
32271,1.2162
32263,1.3816
32253,-0.5757
32243,0.6468
32234,0.1792
32224,-0.0924
32214,0.9669
32204,-0.781
32196,-1.2435
32186,1.1403
32184,-1.485
32176,-0.4825
32166,0.4217
32157,0.2376
32147,-0.3401
32137,0.9054
32127,-1.0855
32119,-1.1851
32109,0.8487
32099,-0.5343
32089,0.0743
32080,0.1429
32070,-0.6687
32060,0.8181
32052,1.2353
32050,-1.4667
32042,-1.2549
32040,1.4553
32032,0.5256
32022,-0.5478
32013,-0.2042
32003,0.1616
31993,-0.9158
31983,0.9399
31975,1.1125
31965,-1.1519
31955,0.4473
31946,-0.3727
31936,-0.2392
31926,0.4146
31916,-0.9739
31908,-1.3532
31907,1.1401
31898,1.3929
31889,-0.6448
31879,0.66
31869,0.1122
31859,-0.0731
31849,0.9031
31840,-0.7547
31832,-1.2772
31822,1.1956
31820,-1.4566
31812,-0.5061
31802,0.4878
31792,0.2203
31783,-0.2647
31773,0.8952
31763,-1.0061
31755,-1.1873
31745,0.9222
31736,-0.5367
31726,0.1487
31716,0.1379
31706,-0.598
31696,0.81
31688,1.299
31687,-1.4024
31679,-1.2758
31677,1.4425
31669,0.5859
31659,-0.579
31649,-0.1513
31640,0.1231
31630,-0.8738
31620,0.8938
31612,1.1238
31610,-1.529
31602,-1.2301
31593,0.4551
31583,-0.4528
31573,-0.2369
31563,0.336
31554,-0.9735
31545,-1.4242
31544,1.0642
31536,1.3987
31526,-0.7174
31516,0.668
31506,0.0409
31497,-0.0592
31487,0.8322
31477,-0.7348
31469,-1.3176
31459,1.2441
31458,-1.4346
31450,-0.5366
31440,0.5468
31430,0.1965
31421,-0.1947
31411,0.8791
31401,-0.9318
31393,-1.1923
31383,0.9944
31374,-0.5398
31364,0.2236
31354,0.1346
31345,-0.5244
31335,0.8063
31327,1.3708
31325,-1.3322
31317,-1.2897
31316,1.4354
31307,0.6539
31298,-0.6034
31288,-0.0924
31278,0.0914
31269,-0.8263
31259,0.8532
31251,1.1394
31249,-1.4916
31241,-1.3027
31232,0.468
31222,-0.5266
31212,-0.2307
31203,0.2617
31193,-0.9696
31185,-1.4957
31183,0.9907
31175,1.4018
31165,-0.7942
31156,0.6711
31146,-0.0361
31136,-0.0506
31127,0.7554
31117,-0.7216
31109,-1.3651
31107,1.4985
31099,1.2864
31098,-1.4191
31090,-0.5739
31080,0.5994
31070,0.1657
31061,-0.1318
31051,0.8578
31042,-0.8627
31033,-1.1992
31024,1.0646
31014,-0.5439
31004,0.2982
30995,0.1315
30985,-0.4509
30976,0.8029
